source	site	layer	kind	position	label	l0
addsub-05-filter-integers	layers.18.self_attn.v_proj	18	self_attn.v_proj	3	b	2.9562
addsub-05-filter-integers	layers.18.self_attn.v_proj	18	self_attn.v_proj	4	=	0.0005
addsub-05-filter-integers	layers.19.mlp.down_proj	19	mlp.down_proj	0	<BOS>	2.0000
addsub-05-filter-integers	layers.19.mlp.down_proj	19	mlp.down_proj	1	a	4.4470
addsub-05-filter-integers	layers.19.mlp.down_proj	19	mlp.down_proj	2	op	4.3385
addsub-05-filter-integers	layers.19.mlp.down_proj	19	mlp.down_proj	3	b	4.3800
addsub-05-filter-integers	layers.19.mlp.down_proj	19	mlp.down_proj	4	=	7.9528
addsub-05-filter-integers	layers.19.mlp.gate_proj	19	mlp.gate_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.19.mlp.gate_proj	19	mlp.gate_proj	1	a	2.9640
addsub-05-filter-integers	layers.19.mlp.gate_proj	19	mlp.gate_proj	2	op	3.0133
addsub-05-filter-integers	layers.19.mlp.gate_proj	19	mlp.gate_proj	3	b	3.1715
addsub-05-filter-integers	layers.19.mlp.gate_proj	19	mlp.gate_proj	4	=	6.0720
addsub-05-filter-integers	layers.19.mlp.up_proj	19	mlp.up_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.19.mlp.up_proj	19	mlp.up_proj	1	a	2.4835
addsub-05-filter-integers	layers.19.mlp.up_proj	19	mlp.up_proj	2	op	3.1360
addsub-05-filter-integers	layers.19.mlp.up_proj	19	mlp.up_proj	3	b	2.7745
addsub-05-filter-integers	layers.19.mlp.up_proj	19	mlp.up_proj	4	=	6.0485
addsub-05-filter-integers	layers.19.self_attn.k_proj	19	self_attn.k_proj	0	<BOS>	2.0000
addsub-05-filter-integers	layers.19.self_attn.k_proj	19	self_attn.k_proj	1	a	1.0000
addsub-05-filter-integers	layers.19.self_attn.k_proj	19	self_attn.k_proj	2	op	1.0000
addsub-05-filter-integers	layers.19.self_attn.k_proj	19	self_attn.k_proj	3	b	0.9670
addsub-05-filter-integers	layers.19.self_attn.k_proj	19	self_attn.k_proj	4	=	0.0025
addsub-05-filter-integers	layers.19.self_attn.o_proj	19	self_attn.o_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.19.self_attn.o_proj	19	self_attn.o_proj	1	a	1.0000
addsub-05-filter-integers	layers.19.self_attn.o_proj	19	self_attn.o_proj	2	op	1.0000
addsub-05-filter-integers	layers.19.self_attn.o_proj	19	self_attn.o_proj	3	b	1.0000
addsub-05-filter-integers	layers.19.self_attn.o_proj	19	self_attn.o_proj	4	=	1.0000
addsub-05-filter-integers	layers.19.self_attn.q_proj	19	self_attn.q_proj	0	<BOS>	0.0000
addsub-05-filter-integers	layers.19.self_attn.q_proj	19	self_attn.q_proj	1	a	1.0000
addsub-05-filter-integers	layers.19.self_attn.q_proj	19	self_attn.q_proj	2	op	1.0000
addsub-05-filter-integers	layers.19.self_attn.q_proj	19	self_attn.q_proj	3	b	1.0000
addsub-05-filter-integers	layers.19.self_attn.q_proj	19	self_attn.q_proj	4	=	1.0000
addsub-05-filter-integers	layers.19.self_attn.v_proj	19	self_attn.v_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.19.self_attn.v_proj	19	self_attn.v_proj	1	a	1.0000
addsub-05-filter-integers	layers.19.self_attn.v_proj	19	self_attn.v_proj	2	op	0.9585
addsub-05-filter-integers	layers.19.self_attn.v_proj	19	self_attn.v_proj	3	b	0.1550
addsub-05-filter-integers	layers.19.self_attn.v_proj	19	self_attn.v_proj	4	=	0.0000
addsub-05-filter-integers	layers.2.mlp.down_proj	2	mlp.down_proj	0	<BOS>	0.5128
addsub-05-filter-integers	layers.2.mlp.down_proj	2	mlp.down_proj	1	a	4.4300
addsub-05-filter-integers	layers.2.mlp.down_proj	2	mlp.down_proj	2	op	3.9215
addsub-05-filter-integers	layers.2.mlp.down_proj	2	mlp.down_proj	3	b	7.0283
addsub-05-filter-integers	layers.2.mlp.down_proj	2	mlp.down_proj	4	=	2.0000
addsub-05-filter-integers	layers.2.mlp.gate_proj	2	mlp.gate_proj	0	<BOS>	0.2548
addsub-05-filter-integers	layers.2.mlp.gate_proj	2	mlp.gate_proj	1	a	3.2013
