site	layer	kind	component	alive_start	alive_answer-ce	max_ci_answer-ce	alive_integers	max_ci_integers	alive_last-pos-ceiling	max_ci_last-pos-ceiling	effect_run	effect_run_add	effect_run_sub	impairs_frac_run	impairs_frac_run_add	impairs_frac_run_sub	active_frac_run	ablated_dscore_run	ablated_dacc_run	swept_dkl_run	swept_dinteger_kl_run	swept_danswer_ce_run	swept_daccuracy_run	effect_answer-ce	effect_answer-ce_add	effect_answer-ce_sub	impairs_frac_answer-ce	impairs_frac_answer-ce_add	impairs_frac_answer-ce_sub	active_frac_answer-ce	ablated_dscore_answer-ce	ablated_dacc_answer-ce	swept_dkl_answer-ce	swept_dinteger_kl_answer-ce	swept_danswer_ce_answer-ce	swept_daccuracy_answer-ce	effect_integers	effect_integers_add	effect_integers_sub	impairs_frac_integers	impairs_frac_integers_add	impairs_frac_integers_sub	active_frac_integers	ablated_dscore_integers	ablated_dacc_integers	swept_dkl_integers	swept_dinteger_kl_integers	swept_danswer_ce_integers	swept_daccuracy_integers
layers.0.mlp.down_proj	0	mlp.down_proj	17	1	1	1	1	1	1	1	-4.51446e-06	-3.51123e-06	-5.51769e-06	0.00165	0	0.0033	0.01			-9.27597e-07	-5.10365e-07	-4.29153e-06	0	1.18303e-07	-6.03917e-08	2.96997e-07				0.01			0.000202179	9.65595e-05	8.05259e-05	0	-4.44229e-06	-3.45696e-06	-5.42762e-06	0.00155	0	0.0031	0.01			-1.10641e-05	-1.16304e-05	-0.000103951	0
layers.0.mlp.down_proj	0	mlp.down_proj	19	1	1	1	1	1	1	1	-0.000985981	-0.000217893	-0.00175407	0.2476	0.363	0.1322	0.991			-6.39297e-05	-3.65041e-05	0.000787497	0	-0.000368841	2.63122e-06	-0.000740313				0.991			-0.00133133	-0.00139308	0.000216186	0.00390625	-0.000880269	-0.000198528	-0.00156201	0.2588	0.3776	0.14	0.991			4.69238e-05	5.8122e-05	0.004004	-0.00390625
layers.0.mlp.down_proj	0	mlp.down_proj	21	1	1	1	1	1	1	1	-8.59638e-05	0.00127672	-0.00144865	0.5615	0.9181	0.2048	1			-2.72244e-05	-1.09375e-05	0.00134373	-0.00195312	-0.000461758	2.38395e-05	-0.000947356				1			0.00147104	0.00104928	0.000528514	0.0078125	-0.000127488	0.00122205	-0.00147702	0.5455	0.9043	0.1867	1			0.000120133	4.7721e-05	0.00245857	-0.00390625
layers.0.mlp.down_proj	0	mlp.down_proj	22	1	1	1	1	1	1	1	-0.000936315	-0.0014499	-0.000422733	0.1048	0.0429	0.1667	0.3442			7.61598e-05	0.000110805	0.000444174	0.00195312	0.000193636	-0.000155588	0.000542859				0.3439			-0.00992346	-0.00773692	0.00052613	0	-0.00079746	-0.00132105	-0.000273869	0.1115	0.0534	0.1697	0.3439			0.00024876	0.000277013	0.00084734	-0.00390625
layers.0.mlp.down_proj	0	mlp.down_proj	23	1	1	1	1	1	1	1	-0.000471816	0.000716072	-0.0016597	0.3085	0.3449	0.272	0.6304			0.000141822	0.000196997	0.000361204	-0.00195312	-1.15221e-05	-4.81944e-05	2.51501e-05				0.6189			-0.00446987	-0.00494361	0.000164092	0	-0.000506437	0.000618211	-0.00163109	0.3046	0.3413	0.2679	0.6258			0.000413395	0.000511616	0.00294447	-0.00390625
layers.0.mlp.down_proj	0	mlp.down_proj	24	1	0	0	0	0	0	0	1.17719e-10	0	2.35438e-10	5e-05	0	0.0001	5e-05			0	0	0	0	0	0	0				0			0	0	0	0	0	0	0	0	0	0	0			0	0	0	0
layers.0.mlp.down_proj	0	mlp.down_proj	28	1	1	1	1	1	1	1	0.000215132	0.000459851	-2.95861e-05	0.1776	0.276	0.0792	0.32			-1.79559e-05	-2.56784e-05	4.74453e-05	0.00195312	5.1215e-05	4.51222e-05	5.73078e-05				0.3187			0.000528336	0.000495911	0.000801384	-0.00390625	0.00021808	0.000420953	1.52077e-05	0.1842	0.272	0.0963	0.3154			-4.81233e-05	-8.26195e-05	-0.000152111	0
layers.0.mlp.down_proj	0	mlp.down_proj	30	1	1	1	1	1	1	1	-0.000806404	-0.00073451	-0.000878298	0.0775	0.0546	0.1004	0.1719			0.000158112	0.000201244	0.000975847	0	-0.000129765	-3.97685e-05	-0.000219762				0.1719			-0.00425911	-0.00378394	9.08971e-05	0.00390625	-0.000691862	-0.000715236	-0.000668487	0.08075	0.057	0.1045	0.1719			0.000108063	0.000165984	0.00131941	0
layers.0.mlp.down_proj	0	mlp.down_proj	31	1	1	1	1	1	1	1	3.90686e-05	8.28166e-05	-4.67936e-06	0.06015	0.0742	0.0461	0.1			4.15966e-05	5.0839e-05	0.000108957	0	4.43652e-05	3.90339e-06	8.48269e-05				0.1			0.00127888	0.000993013	0.00024581	0	2.89455e-05	7.39865e-05	-1.60956e-05	0.0547	0.0737	0.0357	0.1			6.30543e-05	4.92781e-05	0.000500679	0
layers.0.mlp.down_proj	0	mlp.down_proj	34	1	1	1	1	1	1	1	9.29656e-06	1.85931e-05	0	0.2754	0.5508	0	0.5			0.000105105	0.000106718	0.000540018	-0.00195312	-3.91958e-06	-7.83916e-06	0				0.5			-0.000141144	-7.62939e-06	9.12547e-05	0	1.46089e-06	2.92178e-06	0	0.2705	0.5409	0	0.5			-4.67375e-05	-0.000104941	-0.000552654	0
