site	layer	kind	component	max_ci_alive_in	kl_full	kl_integer	integer_share_of_kl	top_token	p_before	p_after	top_tokens
layers.30.mlp.down_proj	30	mlp.down_proj	233	0.7344	0.0001601	0.0001367	0.853	' '	0.04154	0.04156	' ' 0.0415->0.0416; '?\n' 0.0752->0.0751; '?' 0.00996->0.00995; '____' 0.00488->0.00488; '???' 0.00613->0.00613
layers.30.mlp.down_proj	30	mlp.down_proj	260	1	0.0001597	0.0001364	0.854	' '	0.04154	0.04156	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; '____' 0.00488->0.00488; '?' 0.00996->0.00996; '????' 0.00654->0.00654
layers.30.mlp.down_proj	30	mlp.down_proj	264	1	0.0001784	0.0001487	0.833	'?\n'	0.07516	0.07518	'?\n' 0.0752->0.0752; '____' 0.00488->0.00488; ' ' 0.0415->0.0415; ' (' 0.00526->0.00527; '???' 0.00613->0.00613
layers.30.mlp.down_proj	30	mlp.down_proj	287	0.07812	0.0001602	0.0001352	0.844	'?\n'	0.07516	0.07512	'?\n' 0.0752->0.0751; '?' 0.00996->0.00995; ' ' 0.0415->0.0415; '____' 0.00488->0.00487; '????' 0.00654->0.00654
layers.30.mlp.down_proj	30	mlp.down_proj	314	0.9883	0.000167	0.0001416	0.848	' '	0.04154	0.04151	' ' 0.0415->0.0415; '?' 0.00996->0.00995; '?\n' 0.0752->0.0752; '??' 0.0111->0.0111; '____' 0.00488->0.00488
layers.30.mlp.down_proj	30	mlp.down_proj	343	0.1836	0.0001729	0.0001444	0.835	'?\n'	0.07516	0.07518	'?\n' 0.0752->0.0752; '?' 0.00996->0.00995; ' ' 0.0415->0.0415; '???' 0.00613->0.00614; '????' 0.00654->0.00654
layers.30.mlp.down_proj	30	mlp.down_proj	358	0.0293	0.0001557	0.0001339	0.86	'____'	0.004883	0.004874	'____' 0.00488->0.00487; '?\n' 0.0752->0.0752; '?' 0.00996->0.00996; ' -' 0.006->0.00599; ' ' 0.0415->0.0415
layers.30.mlp.down_proj	30	mlp.down_proj	366	0.06055	0.0001594	0.0001361	0.854	'?\n'	0.07516	0.07518	'?\n' 0.0752->0.0752; '?' 0.00996->0.00995; ' ' 0.0415->0.0415; '____' 0.00488->0.00487; '??' 0.0111->0.0111
layers.30.mlp.down_proj	30	mlp.down_proj	429	1	0.0001604	0.0001359	0.847	'?'	0.009965	0.009953	'?' 0.00996->0.00995; '?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; '____' 0.00488->0.00488; ' -' 0.006->0.00599
layers.30.mlp.down_proj	30	mlp.down_proj	432	0.06641	0.000168	0.0001417	0.844	'??'	0.01114	0.01113	'??' 0.0111->0.0111; '?\n' 0.0752->0.0752; '?' 0.00996->0.00996; '????' 0.00654->0.00654; '???' 0.00613->0.00613
layers.30.mlp.down_proj	30	mlp.down_proj	718	0.09766	0.0001579	0.0001347	0.853	' '	0.04154	0.04157	' ' 0.0415->0.0416; '????' 0.00654->0.00653; '____' 0.00488->0.00488; '?\n' 0.0752->0.0752; ' (' 0.00526->0.00527
layers.30.mlp.down_proj	30	mlp.down_proj	773	0.01367	0.0001631	0.0001392	0.853	'?\n'	0.07516	0.07519	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; ' -' 0.006->0.00599; '?' 0.00996->0.00996; ' (' 0.00526->0.00526
layers.30.mlp.down_proj	30	mlp.down_proj	852	1	0.0001612	0.0001381	0.857	' '	0.04154	0.04151	' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; '??' 0.0111->0.0111; '?' 0.00996->0.00995; ' -' 0.006->0.00599
layers.30.mlp.down_proj	30	mlp.down_proj	948	0.3555	0.0001656	0.0001407	0.85	' '	0.04154	0.04158	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; '?' 0.00996->0.00995; '____' 0.00488->0.00488; '????' 0.00654->0.00653
layers.30.mlp.down_proj	30	mlp.down_proj	953	0.02148	0.0001585	0.0001322	0.834	'?\n'	0.07516	0.0751	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '?' 0.00996->0.00996; ' -' 0.006->0.00599; '____' 0.00488->0.00488
layers.30.mlp.down_proj	30	mlp.down_proj	983	0.1895	0.0001566	0.0001343	0.858	'?\n'	0.07516	0.07515	'?\n' 0.0752->0.0751; ' -' 0.006->0.00599; '?' 0.00996->0.00996; '____' 0.00488->0.00488; ' (' 0.00526->0.00526
layers.30.mlp.down_proj	30	mlp.down_proj	1004	0.6445	0.0001671	0.0001416	0.848	' '	0.04154	0.04159	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; '?' 0.00996->0.00996; '???' 0.00613->0.00613; '____' 0.00488->0.00488
layers.30.mlp.down_proj	30	mlp.down_proj	1016	0.01758	0.0001571	0.0001334	0.849	' '	0.04154	0.04155	' ' 0.0415->0.0415; ' -' 0.006->0.00599; '____' 0.00488->0.00488; '?' 0.00996->0.00996; '??' 0.0111->0.0111
layers.30.mlp.gate_proj	30	mlp.gate_proj	9	0.05664	0.0001705	0.0001464	0.859	' '	0.04154	0.0415	' ' 0.0415->0.0415; '?' 0.00996->0.00995; ' -' 0.006->0.00601; '____' 0.00488->0.00488; '???' 0.00613->0.00613
layers.30.mlp.gate_proj	30	mlp.gate_proj	34	0.06836	0.0001642	0.0001407	0.857	'?\n'	0.07516	0.07513	'?\n' 0.0752->0.0751; '???' 0.00613->0.00613; '?' 0.00996->0.00996; ' (' 0.00526->0.00526; '____' 0.00488->0.00488
layers.30.mlp.gate_proj	30	mlp.gate_proj	121	0.01758	0.0001612	0.0001378	0.855	' '	0.04154	0.04151	' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; '???' 0.00613->0.00614; '____' 0.00488->0.00488; '?' 0.00996->0.00996
layers.30.mlp.gate_proj	30	mlp.gate_proj	123	0.1406	0.0001649	0.0001395	0.846	' '	0.04154	0.0415	' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; '?' 0.00996->0.00995; ' -' 0.006->0.00599; '____' 0.00488->0.00488
layers.30.mlp.gate_proj	30	mlp.gate_proj	169	1	0.0001645	0.0001427	0.867	'?\n'	0.07516	0.07513	'?\n' 0.0752->0.0751; '???' 0.00613->0.00614; ' ' 0.0415->0.0415; '??' 0.0111->0.0111; '?' 0.00996->0.00996
layers.30.mlp.gate_proj	30	mlp.gate_proj	188	0.08789	0.0001564	0.0001339	0.856	'?\n'	0.07516	0.0751	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '?' 0.00996->0.00996; '???' 0.00613->0.00613; '?\n' 0.00811->0.00812
layers.30.mlp.gate_proj	30	mlp.gate_proj	219	0.04883	0.0001604	0.0001369	0.854	' '	0.04154	0.04156	' ' 0.0415->0.0416; '?' 0.00996->0.00995; '?\n' 0.0752->0.0752; '??' 0.0111->0.0111; '???' 0.00613->0.00613
layers.30.mlp.gate_proj	30	mlp.gate_proj	231	0.03516	0.0001586	0.0001358	0.856	' '	0.04154	0.04157	' ' 0.0415->0.0416; '??' 0.0111->0.0111; '?' 0.00996->0.00996; '____' 0.00488->0.00488; ' (' 0.00526->0.00526
layers.30.mlp.gate_proj	30	mlp.gate_proj	274	0.06445	0.0001626	0.0001382	0.85	'?\n'	0.07516	0.07515	'?\n' 0.0752->0.0752; ' -' 0.006->0.00599; '?' 0.00996->0.00996; ' ' 0.0415->0.0415; '____' 0.00488->0.00488
layers.30.mlp.gate_proj	30	mlp.gate_proj	287	0.6797	0.0001661	0.0001413	0.851	'?\n'	0.07516	0.0751	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '?' 0.00996->0.00996; '?\n' 0.00811->0.00811; '????' 0.00654->0.00653
layers.30.mlp.gate_proj	30	mlp.gate_proj	288	1	0.0001623	0.0001393	0.858	' '	0.04154	0.04151	' ' 0.0415->0.0415; '??' 0.0111->0.0111; '____' 0.00488->0.00488; ' Rule' 5.04e-05->5.31e-05; ' -' 0.006->0.006
layers.30.mlp.gate_proj	30	mlp.gate_proj	365	0.02539	0.0001625	0.0001399	0.861	'?\n'	0.07516	0.07513	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '?' 0.00996->0.00996; '???' 0.00613->0.00613; ' -' 0.006->0.006
layers.30.mlp.gate_proj	30	mlp.gate_proj	513	0.07422	0.0001671	0.0001416	0.848	'?\n'	0.07516	0.07521	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; '?' 0.00996->0.00995; ' (' 0.00526->0.00526; '????' 0.00654->0.00654
layers.30.mlp.gate_proj	30	mlp.gate_proj	531	0.03125	0.0001643	0.0001385	0.843	'?\n'	0.07516	0.07518	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; '?' 0.00996->0.00995; ' -' 0.006->0.006; '??' 0.0111->0.0111
layers.30.mlp.gate_proj	30	mlp.gate_proj	587	0.09375	0.0001641	0.00014	0.853	' '	0.04154	0.04149	' ' 0.0415->0.0415; '?\n' 0.0752->0.0751; '?' 0.00996->0.00995; ' -' 0.006->0.00599; '????' 0.00654->0.00654
layers.30.mlp.gate_proj	30	mlp.gate_proj	697	0.09766	0.0001705	0.0001458	0.855	'??'	0.01114	0.01113	'??' 0.0111->0.0111; '?' 0.00996->0.00995; '?\n' 0.0752->0.0752; '____' 0.00488->0.00488; ' -' 0.006->0.00599
layers.30.mlp.gate_proj	30	mlp.gate_proj	791	0.03711	0.0001647	0.0001397	0.848	'?'	0.009965	0.009955	'?' 0.00996->0.00996; '?\n' 0.0752->0.0752; '??' 0.0111->0.0111; '____' 0.00488->0.00488; ' ' 0.0415->0.0415
layers.30.mlp.gate_proj	30	mlp.gate_proj	838	0.02734	0.0001629	0.000138	0.847	' '	0.04154	0.04151	' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; '????' 0.00654->0.00654; '?\n' 0.00811->0.00811; '?' 0.00996->0.00996
layers.30.mlp.gate_proj	30	mlp.gate_proj	849	0.05273	0.0001592	0.0001374	0.863	'?'	0.009965	0.009957	'?' 0.00996->0.00996; '??' 0.0111->0.0111; ' (' 0.00526->0.00526; '?\n' 0.00811->0.00811; '?\n' 0.0752->0.0752
layers.30.mlp.gate_proj	30	mlp.gate_proj	858	0.02148	0.0001732	0.0001468	0.848	'?\n'	0.07516	0.07513	'?\n' 0.0752->0.0751; '?' 0.00996->0.00995; '____' 0.00488->0.00487; ' ' 0.0415->0.0415; '??' 0.0111->0.0112
layers.30.mlp.up_proj	30	mlp.up_proj	67	0.02539	0.0001622	0.0001379	0.85	'?\n'	0.07516	0.07513	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '?' 0.00996->0.00996; ' -' 0.006->0.00599; '____' 0.00488->0.00488
layers.30.mlp.up_proj	30	mlp.up_proj	169	0.4824	0.0001659	0.0001417	0.854	' '	0.04154	0.04156	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; '?' 0.00996->0.00995; ' -' 0.006->0.00601; '____' 0.00488->0.00488
layers.30.mlp.up_proj	30	mlp.up_proj	242	0.7227	0.000165	0.0001399	0.848	' '	0.04154	0.04157	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; '?' 0.00996->0.00995; '??' 0.0111->0.0111; '?\n' 0.00811->0.0081
layers.30.mlp.up_proj	30	mlp.up_proj	288	1	0.0001653	0.0001399	0.846	'?\n'	0.07516	0.07513	'?\n' 0.0752->0.0751; '?' 0.00996->0.00995; '____' 0.00488->0.00488; ' ' 0.0415->0.0415; ' (' 0.00526->0.00526
layers.30.mlp.up_proj	30	mlp.up_proj	596	0.1777	0.000187	0.0001573	0.841	'?\n'	0.07516	0.0751	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; '?\n' 0.00811->0.0081; '____' 0.00488->0.00487; '?' 0.00996->0.00995
layers.30.mlp.up_proj	30	mlp.up_proj	660	0.08594	0.0001641	0.0001374	0.838	'?\n'	0.07516	0.07513	'?\n' 0.0752->0.0751; '?' 0.00996->0.00994; '??' 0.0111->0.0111; '____' 0.00488->0.00488; '?\n' 0.00811->0.00811
layers.30.mlp.up_proj	30	mlp.up_proj	663	0.8828	0.0001577	0.0001346	0.854	'?\n'	0.07516	0.07519	'?\n' 0.0752->0.0752; '?' 0.00996->0.00995; '?\n' 0.00811->0.00812; '____' 0.00488->0.00488; '???' 0.00613->0.00613
layers.30.mlp.up_proj	30	mlp.up_proj	686	1	0.0001764	0.0001489	0.844	'?\n'	0.07516	0.07509	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '???' 0.00613->0.00614; ' (' 0.00526->0.00526; '____' 0.00488->0.00488
layers.30.mlp.up_proj	30	mlp.up_proj	807	1	0.0001644	0.0001401	0.852	' '	0.04154	0.04157	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; '???' 0.00613->0.00613; '?' 0.00996->0.00996; ' -' 0.006->0.00599
layers.30.self_attn.o_proj	30	self_attn.o_proj	18	0.05078	0.0001772	0.0001505	0.849	'?\n'	0.07516	0.07521	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0416; '?' 0.00996->0.00996; '??' 0.0111->0.0111; '____' 0.00488->0.00488
layers.30.self_attn.o_proj	30	self_attn.o_proj	69	0.1309	0.0001764	0.0001481	0.84	'____'	0.004883	0.004876	'____' 0.00488->0.00488; '?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; '?' 0.00996->0.00996; '??' 0.0111->0.0111
layers.30.self_attn.o_proj	30	self_attn.o_proj	83	0.2734	0.0001896	0.0001589	0.838	'?'	0.009965	0.009947	'?' 0.00996->0.00995; '____' 0.00488->0.00488; ' -' 0.006->0.00601; '????' 0.00654->0.00653; ' (' 0.00526->0.00526
layers.30.self_attn.o_proj	30	self_attn.o_proj	84	0.02734	0.0001732	0.0001476	0.853	'?\n'	0.07516	0.07511	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '??' 0.0111->0.0111; '?\n' 0.00811->0.00811; '????' 0.00654->0.00654
layers.30.self_attn.o_proj	30	self_attn.o_proj	181	0.05078	0.0001749	0.0001482	0.848	'?\n'	0.07516	0.07521	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0416; '?' 0.00996->0.00995; '____' 0.00488->0.00487; '??' 0.0111->0.0111
layers.30.self_attn.o_proj	30	self_attn.o_proj	200	0.02734	0.0001755	0.0001463	0.833	'?\n'	0.07516	0.07514	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; '???' 0.00613->0.00613; '?' 0.00996->0.00996; '??' 0.0111->0.0111
layers.30.self_attn.o_proj	30	self_attn.o_proj	215	1	0.0001816	0.0001531	0.843	' '	0.04154	0.04157	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; '?' 0.00996->0.00996; '____' 0.00488->0.00488; ' -' 0.006->0.006
layers.30.self_attn.o_proj	30	self_attn.o_proj	229	0.2324	0.0001803	0.0001527	0.847	'?\n'	0.07516	0.07519	'?\n' 0.0752->0.0752; '?' 0.00996->0.00995; ' ' 0.0415->0.0415; ' -' 0.006->0.00599; ' Rule' 5.04e-05->5.33e-05
layers.30.self_attn.o_proj	30	self_attn.o_proj	283	0.05078	0.0001868	0.0001567	0.839	'?\n'	0.07516	0.07519	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; '????' 0.00654->0.00654; '____' 0.00488->0.00488; ' -' 0.006->0.006
layers.30.self_attn.o_proj	30	self_attn.o_proj	291	0.1836	0.0001818	0.0001532	0.843	'?\n'	0.07516	0.07519	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0416; '?' 0.00996->0.00996; '??' 0.0111->0.0111; '?\n' 0.00811->0.00811
layers.30.self_attn.o_proj	30	self_attn.o_proj	312	0.1953	0.0001866	0.0001553	0.832	' '	0.04154	0.04149	' ' 0.0415->0.0415; '??' 0.0111->0.0111; '?' 0.00996->0.00996; '???' 0.00613->0.00612; '____' 0.00488->0.00488
layers.30.self_attn.o_proj	30	self_attn.o_proj	313	0.4902	0.0001854	0.0001557	0.84	'?\n'	0.07516	0.07514	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; '____' 0.00488->0.00487; '?' 0.00996->0.00996; '??' 0.0111->0.0111
layers.30.self_attn.o_proj	30	self_attn.o_proj	334	0.7031	0.0001759	0.0001492	0.848	' '	0.04154	0.04152	' ' 0.0415->0.0415; '?' 0.00996->0.00995; '?\n' 0.0752->0.0752; ' -' 0.006->0.00601; '____' 0.00488->0.00488
layers.30.self_attn.o_proj	30	self_attn.o_proj	343	0.05859	0.0001758	0.0001469	0.836	'?\n'	0.07516	0.0752	'?\n' 0.0752->0.0752; '?' 0.00996->0.00995; ' ' 0.0415->0.0415; ' -' 0.006->0.00601; '??' 0.0111->0.0111
layers.30.self_attn.o_proj	30	self_attn.o_proj	344	0.03711	0.0001739	0.0001476	0.848	'?\n'	0.07516	0.07514	'?\n' 0.0752->0.0751; '?' 0.00996->0.00995; ' -' 0.006->0.00601; ' ' 0.0415->0.0415; '____' 0.00488->0.00488
layers.30.self_attn.o_proj	30	self_attn.o_proj	361	0.05273	0.0001768	0.0001479	0.836	'?'	0.009965	0.009951	'?' 0.00996->0.00995; '?\n' 0.0752->0.0751; '____' 0.00488->0.00488; '?\n' 0.00811->0.0081; '????' 0.00654->0.00653
layers.30.self_attn.o_proj	30	self_attn.o_proj	362	0.07031	0.000177	0.0001497	0.846	'?\n'	0.07516	0.0752	'?\n' 0.0752->0.0752; '?' 0.00996->0.00995; ' (' 0.00526->0.00526; '____' 0.00488->0.00488; '???' 0.00613->0.00613
layers.30.self_attn.o_proj	30	self_attn.o_proj	372	1	0.0001825	0.0001524	0.835	'?'	0.009965	0.009945	'?' 0.00996->0.00994; '?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '____' 0.00488->0.00488; '??' 0.0111->0.0111
layers.30.self_attn.o_proj	30	self_attn.o_proj	404	0.209	0.0001844	0.0001545	0.838	'?\n'	0.07516	0.07522	'?\n' 0.0752->0.0752; '?' 0.00996->0.00995; ' ' 0.0415->0.0415; ' -' 0.006->0.00599; '?\n' 0.00811->0.00812
layers.30.self_attn.o_proj	30	self_attn.o_proj	413	0.3652	0.0001775	0.0001495	0.842	'?\n'	0.07516	0.07511	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '??' 0.0111->0.0111; ' (' 0.00526->0.00526; '?' 0.00996->0.00996
layers.30.self_attn.o_proj	30	self_attn.o_proj	428	0.0918	0.0001783	0.0001509	0.846	' '	0.04154	0.04149	' ' 0.0415->0.0415; '?' 0.00996->0.00995; '?\n' 0.0752->0.0752; ' (' 0.00526->0.00526; '??' 0.0111->0.0111
layers.30.self_attn.o_proj	30	self_attn.o_proj	436	0.1562	0.000181	0.0001501	0.829	'?\n'	0.07516	0.07518	'?\n' 0.0752->0.0752; '____' 0.00488->0.00487; ' ' 0.0415->0.0415; ' (' 0.00526->0.00526; '?' 0.00996->0.00996
layers.30.self_attn.o_proj	30	self_attn.o_proj	458	0.1016	0.000175	0.0001484	0.848	' '	0.04154	0.04157	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; '?' 0.00996->0.00995; '____' 0.00488->0.00487; '??' 0.0111->0.0111
layers.30.self_attn.o_proj	30	self_attn.o_proj	493	0.2949	0.0001736	0.0001455	0.838	'?\n'	0.07516	0.07522	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; '?' 0.00996->0.00995; '____' 0.00488->0.00487; '??' 0.0111->0.0111
layers.30.self_attn.o_proj	30	self_attn.o_proj	507	0.09375	0.0001745	0.0001472	0.844	'?\n'	0.07516	0.07513	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '?\n' 0.00811->0.0081; '?' 0.00996->0.00996; '____' 0.00488->0.00487
layers.30.self_attn.q_proj	30	self_attn.q_proj	51	0.9648	0.0001822	0.0001505	0.826	'?'	0.009965	0.009945	'?' 0.00996->0.00994; '??' 0.0111->0.0111; ' ' 0.0415->0.0415; '____' 0.00488->0.00488; '?\n' 0.00811->0.00811
layers.30.self_attn.v_proj	30	self_attn.v_proj	135	0.5898	0.0002074	0.0001715	0.827	'?\n'	0.07516	0.07504	'?\n' 0.0752->0.075; ' ' 0.0415->0.0417; '????' 0.00654->0.00655; ' (' 0.00526->0.00528; '???' 0.00613->0.00614
layers.31.mlp.down_proj	31	mlp.down_proj	17	0.07227	0.0001257	0.0001064	0.847	' '	0.04154	0.04152	' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; '____' 0.00488->0.00487; ' -' 0.006->0.00599; '?' 0.00996->0.00996
layers.31.mlp.down_proj	31	mlp.down_proj	32	0.2207	0.0001055	9.194e-05	0.871	' '	0.04154	0.04151	' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; '??' 0.0111->0.0111; '?\n' 0.00811->0.00812; '____' 0.00488->0.00488
layers.31.mlp.down_proj	31	mlp.down_proj	35	0.02344	7.493e-05	6.738e-05	0.899	'?\n'	0.07516	0.07521	'?\n' 0.0752->0.0752; '____' 0.00488->0.00488; '????' 0.00654->0.00653; ' -' 0.006->0.006; '?\n' 0.00811->0.00812
layers.31.mlp.down_proj	31	mlp.down_proj	36	0.04688	0.0001112	9.861e-05	0.886	' '	0.04154	0.04159	' ' 0.0415->0.0416; '????' 0.00654->0.00653; ' (' 0.00526->0.00527; '________' 0.0018->0.0018; '??' 0.0111->0.0111
layers.31.mlp.down_proj	31	mlp.down_proj	42	0.07617	8.325e-05	7.454e-05	0.895	' '	0.04154	0.04151	' ' 0.0415->0.0415; '????' 0.00654->0.00653; '____' 0.00488->0.00488; '?' 0.00996->0.00997; ' (' 0.00526->0.00526
layers.31.mlp.down_proj	31	mlp.down_proj	80	0.07227	8.881e-05	7.808e-05	0.879	'?\n'	0.07516	0.0752	'?\n' 0.0752->0.0752; '?\n' 0.00811->0.0081; '????' 0.00654->0.00653; '??' 0.0111->0.0111; ' -' 0.006->0.006
layers.31.mlp.down_proj	31	mlp.down_proj	111	0.01953	5.701e-05	5.342e-05	0.937	' '	0.04154	0.04153	' ' 0.0415->0.0415; '??' 0.0111->0.0111; ' (' 0.00526->0.00527; '?\n' 0.00811->0.00811; ' -' 0.006->0.006
layers.31.mlp.down_proj	31	mlp.down_proj	166	0.01562	5.493e-05	5.162e-05	0.94	'?\n'	0.07516	0.07517	'?\n' 0.0752->0.0752; ' (' 0.00526->0.00526; '???' 0.00613->0.00613; '?' 0.00996->0.00996; ' Rule' 5.04e-05->5.29e-05
layers.31.mlp.down_proj	31	mlp.down_proj	269	0.01953	5.47e-05	5.075e-05	0.928	'?\n'	0.07516	0.07515	'?\n' 0.0752->0.0752; '?' 0.00996->0.00996; '?\n' 0.00811->0.00811; ' ' 0.0415->0.0415; ' -' 0.006->0.006
layers.31.mlp.down_proj	31	mlp.down_proj	280	0.03125	4.848e-05	4.393e-05	0.906	' '	0.04154	0.04151	' ' 0.0415->0.0415; ' -' 0.006->0.00599; '?\n' 0.00811->0.00812; ' (' 0.00526->0.00526; '??' 0.0111->0.0111
layers.31.mlp.down_proj	31	mlp.down_proj	311	0.1074	5.719e-05	5.307e-05	0.928	' '	0.04154	0.04153	' ' 0.0415->0.0415; '??' 0.0111->0.0112; ' (' 0.00526->0.00526; '?' 0.00996->0.00996; '?\n' 0.0752->0.0752
layers.31.mlp.down_proj	31	mlp.down_proj	317	0.05273	5.44e-05	4.985e-05	0.917	' '	0.04154	0.04151	' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; '??' 0.0111->0.0111; '?' 0.00996->0.00996; ' -' 0.006->0.00599
layers.31.mlp.down_proj	31	mlp.down_proj	376	0.01758	5.362e-05	4.958e-05	0.925	'?\n'	0.07516	0.07514	'?\n' 0.0752->0.0751; '??' 0.0111->0.0111; '?' 0.00996->0.00995; '?\n' 0.00811->0.0081; ' (' 0.00526->0.00527
layers.31.mlp.down_proj	31	mlp.down_proj	377	0.01172	4.614e-05	4.346e-05	0.942	' '	0.04154	0.04155	' ' 0.0415->0.0416; ' -' 0.006->0.006; ' (' 0.00526->0.00526; '?\n' 0.0752->0.0752; '?' 0.00996->0.00996
layers.31.mlp.down_proj	31	mlp.down_proj	380	0.1055	9.447e-05	8.38e-05	0.887	'?\n'	0.07516	0.07519	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0416; '?\n' 0.00811->0.0081; ' -' 0.006->0.00599; '????' 0.00654->0.00653
layers.31.mlp.down_proj	31	mlp.down_proj	396	0.03906	5.468e-05	5.052e-05	0.924	' '	0.04154	0.04154	' ' 0.0415->0.0415; '?\n' 0.00811->0.0081; '?' 0.00996->0.00996; '??' 0.0111->0.0111; ' -' 0.006->0.006
layers.31.mlp.down_proj	31	mlp.down_proj	419	0.02539	5.9e-05	5.515e-05	0.935	'?'	0.009965	0.009954	'?' 0.00996->0.00995; ' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; '?\n' 0.00811->0.00811; '???' 0.00613->0.00613
layers.31.mlp.down_proj	31	mlp.down_proj	476	0.08594	5.272e-05	4.87e-05	0.924	' '	0.04154	0.04156	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; '?' 0.00996->0.00995; '?\n' 0.00811->0.0081; '????' 0.00654->0.00653
layers.31.mlp.down_proj	31	mlp.down_proj	477	0.07617	6.368e-05	5.859e-05	0.92	'?\n'	0.07516	0.0752	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0416; '?' 0.00996->0.00996; '??' 0.0111->0.0111; '????' 0.00654->0.00653
layers.31.mlp.down_proj	31	mlp.down_proj	482	0.07227	0.0001001	9.113e-05	0.911	' '	0.04154	0.04144	' ' 0.0415->0.0414; '?\n' 0.00811->0.00812; '??' 0.0111->0.0111; ' -' 0.006->0.00601; '?' 0.00996->0.00997
layers.31.mlp.down_proj	31	mlp.down_proj	493	0.1055	0.0001625	0.000125	0.769	'?\n'	0.07516	0.0749	'?\n' 0.0752->0.0749; ' ' 0.0415->0.0417; ' (' 0.00526->0.0053; '?\n' 0.00811->0.00807; '?' 0.00996->0.00993
layers.31.mlp.down_proj	31	mlp.down_proj	598	0.2598	5.268e-05	4.759e-05	0.903	'?\n'	0.07516	0.0752	'?\n' 0.0752->0.0752; ' -' 0.006->0.00599; '?' 0.00996->0.00996; '??' 0.0111->0.0111; ' (' 0.00526->0.00527
layers.31.mlp.down_proj	31	mlp.down_proj	646	0.04102	7.75e-05	7.141e-05	0.921	'?\n'	0.07516	0.07518	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0416; '??' 0.0111->0.0111; ' (' 0.00526->0.00525; '____' 0.00488->0.00488
layers.31.mlp.down_proj	31	mlp.down_proj	674	0.01953	5.63e-05	5.032e-05	0.894	' '	0.04154	0.04158	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; ' (' 0.00526->0.00527; '??' 0.0111->0.0111; '?\n' 0.00811->0.00811
layers.31.mlp.down_proj	31	mlp.down_proj	702	0.0332	5.156e-05	4.697e-05	0.911	' '	0.04154	0.04156	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; ' -' 0.006->0.006; '?\n' 0.00811->0.00811; '??' 0.0111->0.0111
layers.31.mlp.down_proj	31	mlp.down_proj	724	0.01562	5.058e-05	4.625e-05	0.915	' '	0.04154	0.04151	' ' 0.0415->0.0415; '???' 0.00613->0.00613; '????' 0.00654->0.00654; '____' 0.00488->0.00489; '?\n' 0.0752->0.0752
layers.31.mlp.down_proj	31	mlp.down_proj	728	0.2656	0.0001009	8.964e-05	0.889	' '	0.04154	0.04148	' ' 0.0415->0.0415; '-\n' 0.00132->0.0013; ' (' 0.00526->0.00524; '????' 0.00654->0.00652; '?\n' 0.00811->0.0081
